POI-Scenic-List v1.3 update by 2020-06-05 Attribution: heweather.com,,,,,,,,,,,,
POI_ID,POI_Name_EN,景区名称,POI_Latitude,POI_Longitude,Country_code,Country_EN,国家名称,Location_ID,Adm1_EN,一级行政区划(Adm1),Adm2_EN,二级行政区划(Adm2)
10111020001A,Xianyang Museum,咸阳博物馆,34.33,108.72,CN,China,中国,101110200,Shaanxi,陕西,Xianyang,咸阳
10110020702A,Hanging Temple,悬空寺,39.66,113.71,CN,China,中国,101100207,Shanxi,山西,Datong,大同
10118110801A,Mausoleum of Han Yu in Mengzhou City,孟州市韩愈陵园,34.9,112.71,CN,China,中国,101181108,Henan,河南,Jiaozuo,焦作
10116090501A,Daxiang Mountain,大像山,34.73,105.31,CN,China,中国,101160905,Gansu,甘肃,Tianshui,天水
10125141001A,Qinyan Scenic Attraction,秦岩风景区,24.95,111.56,CN,China,中国,101251410,Hunan,湖南,Yongzhou,永州
10110050702A,Taihang Dragon Cave,太行龙洞,36.77,113.29,CN,China,中国,101100507,Shanxi,山西,Changzhi,长治
10104040003A,Jinfo Mountain Scenic Attraction,金佛山风景区,29.04,107.1,CN,China,中国,101040400,Chongqing,重庆,Chongqing,重庆
10101070007A,Tianlongyuan Hot Spring,天龙源温泉家园,40.23,116.18,CN,China,中国,101010700,Beijing,北京,Beijing,北京
10112051101A,Haiyang Tourist Resort,海阳旅游度假区,36.69,121.21,CN,China,中国,101120511,Shandong,山东,Yantai,烟台
10108120102A,South Temple on Helan Mountain Tourist Attraction,贺兰山南寺旅游区,38.66,105.8,CN,China,中国,101081201,Neimenggu,内蒙古,Alashanmeng,阿拉善盟
10122030106A,Jiuzi Scenic Attraction,鸠兹景区,31.32,118.37,CN,China,中国,101220301,Anhui,安徽,Wuhu,芜湖
10118090702A,Tianchi Mountain,天池山,34.23,111.85,CN,China,中国,101180907,Henan,河南,Luoyang,洛阳
10111080101A,Eastern Gate of Hanzhong Museum,汉中博物馆东门,33.06,107.03,CN,China,中国,101110801,Shaanxi,陕西,Hanzhong,汉中
10110041201A,Mian Mountain Scenic Attraction,绵山风景区,36.88,111.94,CN,China,中国,101100412,Shanxi,山西,Jinzhong,晋中
10120050301A,Turtle Mountain Scenic Attraction,龟峰山风景区,31.08,115.22,CN,China,中国,101200503,Hubei,湖北,Huanggang,黄冈
10112030108A,Liaozhai City of Zibo,中国淄博聊斋城,36.62,118.01,CN,China,中国,101120301,Shandong,山东,Zibo,淄博
10101020006A,Beijing Zoo,北京动物园,39.93,116.33,CN,China,中国,101010200,Beijing,北京,Beijing,北京
10109010102A,Shijiazhuang Tianshan Ocean World,天山海世界,38.03,114.6,CN,China,中国,101090101,Hebei,河北,Shijiazhuang,石家庄
10101050006A,Hongluo Temple,红螺寺,40.37,116.62,CN,China,中国,101010500,Beijing,北京,Beijing,北京
10107130103A,Dingxiang Ecological & Agricultural Garden,辽河湿地鼎翔生态农业观光园,41.1,121.85,CN,China,中国,101071301,Liaoning,辽宁,Panjin,盘锦
10129140401A,Yunnan Lugu Lake Scenic Attraction,泸沽湖景区,27.65,100.8,CN,China,中国,101291404,Yunnan,云南,Lijiang,丽江
