China-City-List v202408310,,,,,,,,,,,,,
Location_ID,Location_Name_EN,Location_Name_ZH,ISO_3166_1,Country_Region_EN,Country_Region_ZH,Adm1_Name_EN,Adm1_Name_ZH,Adm2_Name_EN,Adm2_Name_ZH,Timezone,Latitude,Longitude,AD_code
101031400,Jizhou,蓟州,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,40.0453,117.4074,120119
101031500,Nankai,南开,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.1205,117.1641,120104
101031600,Hebei,河北,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.1566,117.2016,120105
101031700,Hongqiao,红桥,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.1751,117.1633,120106
101040100,Chongqing,重庆,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.5638,106.5505,500000
101040200,Yongchuan,永川,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.3487,105.8947,500118
101040300,Hechuan,合川,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.9910,106.2656,500117
101040400,Nanchuan,南川,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.1566,107.0982,500119
101040500,Jiangjin,江津,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.2834,106.2532,500116
101040700,Yu Bei,渝北,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.7181,106.6312,500112
101040800,Beibei,北碚,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.8254,106.4379,500109
101040900,Banan,巴南,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.3819,106.5194,500113
101041000,Changshou,长寿,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.8337,107.0749,500115
101041100,Qianjiang,黔江,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.5275,108.7826,500114
101041200,Yuzhong,渝中,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.5567,106.5629,500103
101041300,Wanzhou,万州,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,30.8078,108.3802,500101
101041400,Fuling,涪陵,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.7525,107.2465,500102
101041600,Chengkou,城口,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,31.9463,108.6649,500229
101041700,Yunyang,云阳,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,30.9305,108.6977,500235
101041800,Wuxi,巫溪,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,31.3986,109.5700,500238
101041900,Fengjie,奉节,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,31.0185,109.4011,500236
101042000,Wushan,巫山,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,31.0748,109.8789,500237
101042100,Tongnan,潼南,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,30.1896,105.8418,500152
101042200,Dianjiang,垫江,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,30.3300,107.3487,500231
101042300,Liangping,梁平,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,30.6722,107.8000,500155
101042400,Zhong County,忠县,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,30.2915,108.0375,500233
101042500,Shizhu,石柱,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.9993,108.1141,500240
101042600,Dazu,大足,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.7005,105.7153,500111
101042700,Rongchang,荣昌,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.4036,105.5941,500153
101042800,Tongliang,铜梁,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.8399,106.0549,500151
101042900,Bishan,璧山,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.5936,106.2311,500120
101043000,Fengdu,丰都,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.8664,107.7325,500230
101043100,Wulong,武隆,CN,China,中国,Chongqing,重庆市,Chongqing,重庆市,Asia/Shanghai,29.3238,107.7566,500156
