POI-Tidal-Station-List-latest v1.2 update by 2022-12-27,,,,,,,
POI_ID,POI_Name_Local,POI_Name_EN,POI_Name_ZH,POI_Latitude,POI_Longitude,POI_Type,ISO 3166
P2423,长涂,Changtu,长涂,30.25,122.3,Tidal Station,CN
P2806,岱山,Daishan,岱山,30.23333,122.18333,Tidal Station,CN
P2554,西码头,Ximatou,西码头,30.11817,122.14033,Tidal Station,CN
P2998,沈家门,Shenjiamen,沈家门,29.93333,122.3,Tidal Station,CN
P2411,定海,Dinghai,定海,29.99333,122.03333,Tidal Station,CN
P2825,沥港,Ligang,沥港,30.06667,121.85,Tidal Station,CN
P2728,宁波,Ningbo,宁波,29.88333,121.55,Tidal Station,CN
P2916,镇海,Zhenhai,镇海,29.98333,121.73333,Tidal Station,CN
P2244,北仑港,Beilun Port,北仑港,29.93442,121.84833,Tidal Station,CN
P2680,崎头角,Qitoujiao,崎头角,29.907,122.1195,Tidal Station,CN
P2584,梅山,Meishan,梅山,29.82217,122.00972,Tidal Station,CN
P2559,西泽,Xize,西泽,29.61667,121.83333,Tidal Station,CN
P2793,石浦,Shipu,石浦,29.21667,121.96667,Tidal Station,CN
P2275,旗门港,Qimen Port,旗门港,29.15,121.46667,Tidal Station,CN
P2570,健跳,Jiantiao,健跳,29.03333,121.6,Tidal Station,CN
P2647,鱼山,Yushan,鱼山,28.88333,122.26667,Tidal Station,CN
P2259,下大陈,Xiadachen,下大陈,28.455,121.905,Tidal Station,CN
P2735,海门,Haimen,海门,28.68617,121.45083,Tidal Station,CN
P2286,海门港,Haimen Port,海门港,28.7,121.63333,Tidal Station,CN
P2894,东门村,Dongmen,东门村,28.33333,121.21667,Tidal Station,CN
P2159,坎门,Kanmen,坎门,28.08333,121.28333,Tidal Station,CN
P2633,大门岛,Damendao Island,大门岛,27.95,121.03833,Tidal Station,CN
P2409,温州,Wenzhou,温州,28.02833,120.625,Tidal Station,CN
P2197,瑞安,Ruian,瑞安,27.785,120.62,Tidal Station,CN
P2240,南麂山,Nanjishan,南麂山,27.465,121.06317,Tidal Station,CN
P2306,三沙,Sansha,三沙,26.91667,120.21667,Tidal Station,CN
P2134,赛岐,Saiqi,赛岐,26.96667,119.66667,Tidal Station,CN
P2532,帮门,Bangmen,帮门,26.75,119.58333,Tidal Station,CN
P2891,罗源湾(迹头),Luoyuanwan,罗源迹头,26.46667,119.68333,Tidal Station,CN
P2115,黄岐,Huangqi,黄岐,26.31806,119.88195,Tidal Station,CN
P2289,马尾,Mawei,马尾,25.96283,119.46638,Tidal Station,CN
P2414,福清湾,Fuqingwan (Songxiagang),福清湾,25.68333,119.58333,Tidal Station,CN
P2137,竹屿,Zhuyu,竹屿,25.51667,119.73333,Tidal Station,CN
P2536,郎官,Langguan,郎官,25.56667,119.3,Tidal Station,CN
P2683,闽江口-川石,Minjiangkou (Chuanshi),闽江口-川石,26.13277,119.65695,Tidal Station,CN
P2848,闽江口-琯头,Minjiangkou (Guantou),闽江口-琯头,26.13,119.55667,Tidal Station,CN
P2168,平潭,Pingtan,平潭,25.45833,119.84833,Tidal Station,CN
P2113,三江口,Sanjiangkou,三江口,25.41667,119.11667,Tidal Station,CN
P2903,秀屿,Xiuyu,秀屿,25.14833,119.02,Tidal Station,CN
P2671,梯吴,Tiwu,梯吴,25.13333,119.03333,Tidal Station,CN
P2180,崇武,Chongwu,崇武,24.87667,118.95833,Tidal Station,CN
P2780,后渚,Houzhu,后渚,24.9,118.66667,Tidal Station,CN
P2243,泉州,Quanzhou(Shihu),泉州,24.81667,118.7,Tidal Station,CN
P2912,深沪港,Shenhu Port,深沪港,24.63167,118.675,Tidal Station,CN
P2816,围头,Weitou,围头,24.51667,118.56667,Tidal Station,CN
P2849,石井,Shijing,石井,24.63412,118.4295,Tidal Station,CN
P2929,厦门,Xiamen,厦门,24.44833,118.07,Tidal Station,CN
P2350,将军澳,Jiangjunao,将军澳,24.03333,117.9,Tidal Station,CN
P2528,石码,Shima,石码,24.45083,117.81767,Tidal Station,CN
P2982,东山,Dongshan,东山,23.74333,117.52333,Tidal Station,CN
P2340,马公,Magong,马公,23.55,119.56667,Tidal Station,CN
P2334,基隆,Keelung,基隆,25.15,121.73333,Tidal Station,TW
P2598,高雄,Kaohsiung,高雄,22.6,120.28333,Tidal Station,TW
P2519,南澳岛,Nan'ao Island,南澳岛,23.4,117.1,Tidal Station,CN
P2822,潮州港,Chaozhou Port (Sanbaimen),潮州港,23.6,116.96667,Tidal Station,CN
P2781,海门,Haimen,海门,23.33333,116.73333,Tidal Station,CN
P2558,甲子,Jiazi,甲子,23.183332,116.61667,Tidal Station,CN
P2364,汕尾,Shanwei,汕尾,22.81667,116.1,Tidal Station,CN
P2646,马鞭洲,Mabianzhou(Guangshihua),马鞭洲,22.76667,115.36667,Tidal Station,CN
P2895,惠州港,Huizhou Port,惠州港,22.66667,114.65,Tidal Station,CN
P2962,大亚湾,Dayawan,大亚湾,22.695,114.565,Tidal Station,CN
P2627,大鹏湾,Dapengwan(Yantiangang),大鹏湾,22.59167,114.53417,Tidal Station,CN
P2260,香港,Hong Kong,香港,22.58833,114.27833,Tidal Station,HK
P2236,蛇口,Shekou (Chiwan),蛇口,22.3,114.16667,Tidal Station,CN
P2799,桂山岛,Guishan Island,桂山岛,22.45,113.88333,Tidal Station,CN
P2792,内伶仃岛,Nei Lingding Island,内伶仃岛,22.13333,113.81667,Tidal Station,CN
P2932,舢舨洲,Shanbanzhou,舢舨洲,22.42333,113.79917,Tidal Station,CN
P2926,深圳机场,Shenzhen Air Port,深圳机场,22.71667,113.66667,Tidal Station,CN
P2299,南沙,Nansha (Shuiniutou),南沙,22.63333,113.8,Tidal Station,CN
P2474,海沁,Haiqin,海沁,22.7461,113.5611,Tidal Station,CN
P2352,黄埔,Huangpu,黄埔,22.96667,113.53333,Tidal Station,CN
P2908,广州,Guangzhou,广州,23.09167,113.45833,Tidal Station,CN
P2945,北街,Beijie,北街,23.06667,113.26667,Tidal Station,CN
P2621,横门,Hengmen,横门,22.60388,113.11467,Tidal Station,CN
P2304,香洲,Xiangzhou,香洲,22.575,113.51833,Tidal Station,CN
P2801,九洲港,Jiuzhou Port,九洲港,22.28333,113.58333,Tidal Station,CN
P2943,澳门,Macao,澳门,22.2425,113.58362,Tidal Station,MO
P2102,东澳岛,Dong Ao Island,东澳岛,22.21797,113.55333,Tidal Station,CN
P2751,大万山,Dawanshan,大万山,22.01667,113.7,Tidal Station,CN
P2587,灯笼山,Denglongshan,灯笼山,21.93333,113.71667,Tidal Station,CN
P2619,三灶岛,Sanzaodao,三灶岛,22.23333,113.4,Tidal Station,CN
P2225,珠海港,Zhuhai Port,珠海港,22.03333,113.4,Tidal Station,CN
P2563,横山,Hengshan,横山,21.94556,113.23111,Tidal Station,CN
P2835,井岸,Jing’an,井岸,22.33333,113.18333,Tidal Station,CN
P2357,上川岛,Shangchuan Island,上川岛,22.21667,113.3,Tidal Station,CN
P2314,北津,Beijin,北津,21.75,112.76667,Tidal Station,CN
P2709,海陵山岛,Hailingshan Island,海陵山岛,21.8,112.01667,Tidal Station,CN
P2566,电白,Dianbai,电白,21.58333,111.81667,Tidal Station,CN
P2537,博贺,Bohe,博贺,21.5,111.26667,Tidal Station,CN
P2967,西葛,Xige,西葛,21.48333,111.23333,Tidal Station,CN
P2585,茂石化,Maoshihua(Shuidong Port),茂石化,21.4661,111.09694,Tidal Station,CN
P2440,硇洲岛,Naozhou Island,硇洲岛,21.478333,111.07333,Tidal Station,CN
P2582,湛江,Zhanjiang,湛江,20.9,110.55,Tidal Station,CN
P2769,下港,Xiagang,下港,21.16667,110.4,Tidal Station,CN
P2109,海安,Haian,海安,20.51667,110.53333,Tidal Station,CN
P2285,流沙,Liusha,流沙,20.22833,110.12667,Tidal Station,CN
P2117,乌石,Wushi,乌石,20.44639,109.99222,Tidal Station,CN
P2653,下泊,Xiabo,下泊,20.55,109.83333,Tidal Station,CN
P2609,东沙岛,Dongsha Island,东沙岛,21.26667,109.76667,Tidal Station,CN
P2944,海口,Haikou,海口,20.7,116.71667,Tidal Station,CN
P2590,铺前,Puqian,铺前,20.025,110.276665,Tidal Station,CN
P2483,清澜,Qinglan,清澜,20.03305,110.572,Tidal Station,CN
P2664,博鳌,Bo’ao,博鳌,19.563334,110.82166,Tidal Station,CN
P2774,新村,Xincun,新村,19.19833,110.60667,Tidal Station,CN
P2121,牙笼港,Yalonggang,牙笼港,18.415,109.97055,Tidal Station,CN
P2429,三亚,Sanya,三亚,18.22212,109.695,Tidal Station,CN
P2750,莺歌海,Yinggehai,莺歌海,18.245167,109.4975,Tidal Station,CN
P2885,东方,Dongfang(Basuo),东方,18.505,108.68833,Tidal Station,CN
P2575,洋浦,Yangpu,洋浦,19.10667,108.625,Tidal Station,CN
P2539,新盈,Xinying,新盈,19.73195,109.1875,Tidal Station,CN
P2692,马村港,Macun Port,马村港,19.9,109.51667,Tidal Station,CN
P2620,永兴岛,Yongxing Island,永兴岛,19.95972,110.02388,Tidal Station,CN
P2149,双子礁,Shuangzi Reefs,双子礁,16.83333,112.33333,Tidal Station,CN
P2428,永暑礁,Yongshu Reef,永暑礁,11.45,114.31667,Tidal Station,CN
P2669,铁山港,Tieshan Port,铁山港,21.58333,109.56667,Tidal Station,CN
P2864,涠洲岛,Weizhou Island,涠洲岛,21.01667,109.11667,Tidal Station,CN
P2462,北海,Beihai,北海,21.46667,109.05,Tidal Station,CN
P2659,龙门,Longmen,龙门,21.75,108.55,Tidal Station,CN
P2512,企沙,Qisha,企沙,21.58333,108.48333,Tidal Station,CN
P2410,炮台角,Paotaijiao,炮台角,21.56667,108.38333,Tidal Station,CN
P2284,防城港,Fangchenggang,防城港,21.6,108.33333,Tidal Station,CN
P2602,珍珠港,Zhenzhugang,珍珠港,21.51667,108.21667,Tidal Station,CN
P2488,白龙尾,Bailongwei,白龙尾,21.5,108.23333,Tidal Station,CN
P2827,钓鱼岛,Diaoyudao,钓鱼岛,25.73333,123.46667,Tidal Station,CN
P2533,黄岩岛,Huangyan Island,黄岩岛,15.11667,117.85,Tidal Station,CN
P2843,남포시,Nampo,南浦,38.683334,125.4,Tidal Station,KP
P2820,인천,Inchon,仁川,37.466667,126.6,Tidal Station,KR
P2795,군산시,Gunsan,群山,35.983334,126.71667,Tidal Station,KR
P2545,제주도,Jeju Island,济州岛,33.233334,126.55,Tidal Station,KR
P2674,부산,Busan,釜山,35.1,129.03334,Tidal Station,KR
P2673,佐世保市,Sasebo,佐世保,33.15,129.73334,Tidal Station,JP
P2290,那覇市,Naha,那霸,26.216667,127.666664,Tidal Station,JP
P2365,下関市,Simonoseki,下关,33.95,130.96666,Tidal Station,JP
P2839,呉市,Kure,吴,34.233334,132.55,Tidal Station,JP
P2374,舞鶴市,Maizuru,舞鹤,35.483334,135.4,Tidal Station,JP
P2940,神戸市,Kobe,神户,34.683334,135.2,Tidal Station,JP
P2788,横浜市,Yokohama,横滨,35.433334,139.66667,Tidal Station,JP
P2809,釜石市,Kamaisi,釜石,39.266666,141.9,Tidal Station,JP
P2348,Корсаковский порт,Korsakov Port,科尔萨科夫港,46.65,142.75,Tidal Station,RU
P2453,Prince Rupert,Prince Rupert,鲁珀特王子港,54.316666,-130.33333,Tidal Station,CA
P2412,Tofino,Tofino,托菲诺,49.15,-125.916664,Tidal Station,CA
P2230,Victoria,Victoria,维多利亚,48.416668,-123.36667,Tidal Station,CA
P2887,Vancouver Harbour,Vancouver Harbour,温哥华港,49.283333,-123.11667,Tidal Station,CA
P2212,Seattle,Seattle,西雅图,47.6,-122.333336,Tidal Station,US
P2152,Astoria,Astoria,阿斯托里亚,46.2,-123.76667,Tidal Station,US
P2617,San Francisco,San Francisco,圣弗朗西斯科,37.8,-122.45,Tidal Station,US
P2155,Los Angeles,Los Angeles,洛杉矶,33.716667,-118.26667,Tidal Station,US
P2486,San Diego,San Diego,圣迭戈,32.716667,-117.166664,Tidal Station,US
P2859,La Unión,La Unión,拉乌尼翁,13.333333,-87.816666,Tidal Station,SV
P2701,Balboa,Balboa,巴尔博亚,8.95,-79.566666,Tidal Station,PA
P2654,Valparaíso,Valparaiso,瓦尔帕莱索,-33.033333,-71.63333,Tidal Station,CL
P2937,Puerto Montt,Puerto Montt,蒙特港,-41.483334,-72.96667,Tidal Station,CL
P2927,Cabo de Hornos,Cape Horn,合恩角,-55.516666,-68.083336,Tidal Station,CL
P2950,Sungai Musi,Musi River(Outer Bar),穆西河,-2.2333333,104.933334,Tidal Station,ID
P2741,Pulau Pinang,Penang,槟城,5.4166665,100.35,Tidal Station,MY
P2949,Pelabuhan Klang,Port Klang,巴生港,3.0333333,101.35,Tidal Station,MY
P2521,Port Dickson,Port Dickson,波德申,2.5166667,101.78333,Tidal Station,MY
P2261,Batu Pahat,Batu Pahat,瓜拉巴株巴辖,1.7666667,102.88333,Tidal Station,MY
P2167,Keppel Harbour,Keppel Harbour,吉宝港口,1.2666667,103.816666,Tidal Station,SG
P2470,,Tanjung Gelang,宜兰角,3.9833333,103.416664,Tidal Station,MY
P2231,Terengganu,Trengganu,登嘉楼,5.35,103.13333,Tidal Station,MY
P2344,,Bangkok Bar,曼谷沙渚,13.45,100.6,Tidal Station,TH
P2635,Cảng Vũng Tàu,Vung Tau Port,头顿港,10.333333,107.066666,Tidal Station,VN
P2107,,Hon Nieu,宇岛,18.8,105.76667,Tidal Station,VN
P2748,Cua Cam,Cua Cam (Hon Dau),,20.666666,106.816666,Tidal Station,VN
P2626,Cebu,Cebu,宿务,10.3,123.9,Tidal Station,PH
P2658,Maynilà,Manila,马尼拉,14.583333,120.96667,Tidal Station,PH
P2114,Davao,Davao,达沃,7.0833335,125.63333,Tidal Station,PH
P2321,Jolo,Jolo,霍洛岛,6.0666666,121,Tidal Station,PH
P2778,Sandakan,Sandakan,山打根,5.8333335,118.11667,Tidal Station,MY
P2710,Labuan,Labuan,纳闽岛,5.2833333,115.25,Tidal Station,MY
P2140,,Miri,米里,4.4,113.98333,Tidal Station,MY
P2933,,Sungai Sarawak,沙捞越河,1.75,110.5,Tidal Station,MY
P2424,,Sungai Barito(Outer Bar),巴里托河,-3.5666666,114.48333,Tidal Station,ID
P2708,,Balik Papan,巴厘巴板,-1.2666667,116.8,Tidal Station,ID
P2815,,Kalimantan-Sungai Kutei,库堤河,-0.7,117.5,Tidal Station,ID
P2323,,Java-Djakarta(Tanjung Priok),雅加达,-6.1,106.86667,Tidal Station,ID
P2924,,Java-Surabaya,泗水,-7.2,112.73333,Tidal Station,ID
P2805,,Java-Karang Djamuang,卡朗查芒,-6.9333334,112.73333,Tidal Station,ID
P2356,,Papua New Port Moresby,莫尔兹比港,-9.483334,147.13333,Tidal Station,PG
P2624,,Bismarck Archipelago-Seeadler Harbour,泽阿德勒港,-2.0166667,147.26666,Tidal Station,PG
P2542,,Vanuatu-Vila Harbour,维拉港,-17.75,168.3,Tidal Station,VU
P2226,Twin Island,Twin Island,特温岛,-10.466666,142.43333,Tidal Station,AU
P2223,Thursday Island,Thursday Island,星期四岛,-10.583333,142.21666,Tidal Station,AU
P2396,Goods Island,Goods Island,古兹岛,-10.566667,142.16667,Tidal Station,AU
P2268,Townsville,Townsville,汤斯维尔,-19.25,146.83333,Tidal Station,AU
P2489,Mackay Outer Harbour,Mackay Outer Harbour,麦凯外港,-21.116667,149.23334,Tidal Station,AU
P2376,Brisbane Bar,Brisbane Bar,布里斯班沙渚,-27.366667,153.16667,Tidal Station,AU
P2227,Newcastle,Newcastle,纽卡斯尔,-32.933334,151.78334,Tidal Station,AU
P2446,Sydney,Sydney,悉尼,-33.85,151.23334,Tidal Station,AU
P2147,Port Phillip Heads,Port Phillip Heads,菲利浦港,-38.3,144.61667,Tidal Station,AU
P2548,Port Phillip(Melbourne),Port Phillip(Melbourne),菲利浦港-墨尔本,-37.866665,144.86667,Tidal Station,AU
P2921,Mersey River(Devonport),Mersey River(Devonport),莫西河,-41.183334,146.36667,Tidal Station,AU
P2154,Port Adelaide(Outer Harbour),Port Adelaide(Outer Harbour),阿德莱德外港,-34.783333,138.48334,Tidal Station,AU
P2390,Wallaroo,Wallaroo,沃拉鲁,-33.9,137.6,Tidal Station,AU
P2762,Whyalla,Whyalla,怀阿拉,-33.016666,137.6,Tidal Station,AU
P2881,Port Lincoln,Port Lincoln,林肯港,-34.716667,135.86667,Tidal Station,AU
