POI-Port-List-latest v1.0 update by 2020-12-12,,,,,,,,,,,,,,
POI_ID,POI_Name_EN,POI_Name_ZH,POI_Latitude,POI_Longitude,POI_Type,Country_code,Country_EN,Country_ZH,Location_Name_EN,Location_Name_ZH,Adm2_EN,Adm2_ZH,Adm1_EN,Adm1_ZH
P2257,sheyanghekou,射阳河口,33.81667,120.5,Port,CN,China,中国,Yancheng,盐城,,,Jiangsu,江苏
P2966,xinyanggang,新洋港,33.615,120.47833,Port,CN,China,中国,Yancheng,盐城,,,Jiangsu,江苏
P2372,dafenggang,大丰港,33.283333,120.8,Port,CN,China,中国,Yancheng,盐城,,,Jiangsu,江苏
P2126,jianggang,弶港,32.73333,120.86667,Port,CN,China,中国,Yancheng,盐城,,,Jiangsu,江苏
P2313,yangkougang,洋口港,32.515,121.42333,Port,CN,China,中国,Nantong,南通,,,Jiangsu,江苏
P2919,lusi,吕四,32.13333,121.61667,Port,CN,China,中国,Nantong,南通,,,Jiangsu,江苏
P2980,tianshenggang,天生港,32.03333,120.75,Port,CN,China,中国,Nantong,南通,,,Jiangsu,江苏
P2830,sheshan,佘山,31.41667,122.23333,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2672,chongming(nanbuzhen),崇明,31.53333,121.63333,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2652,zhongjun,中浚,31.11667,121.9,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2143,gaoqiao,高桥,31.37667,121.56667,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2761,wusong,吴淞,31.38333,121.5,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2447,huangpugongyuan,黄浦公园,31.24333,121.48667,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2523,lucaogang(nanhuizui),芦潮港,30.84,121.845,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2739,jinshanzui,金山嘴,30.73333,121.37167,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2880,luhuashan,绿华山,30.81667,122.6,Port,CN,China,中国,Zhoushan,舟山,,,Zhejiang,浙江
P2931,dajishan,大戢山,30.81667,122.16667,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2351,shengshan,嵊山,30.71667,122.8,Port,CN,China,中国,Zhoushan,舟山,,,Zhejiang,浙江
P2794,zhapu,乍浦,30.59333,121.10667,Port,CN,China,中国,Jiaxing,嘉兴,,,Zhejiang,浙江
P2177,ganpu,澉浦,30.37333,120.90833,Port,CN,China,中国,Jiaxing,嘉兴,,,Zhejiang,浙江
P2337,tanhu,滩浒,30.61667,121.61667,Port,CN,China,中国,Shanghai,上海,,,Shanghai,上海
P2419,haihuangshan,海黄山,30.22283,121.51567,Port,CN,China,中国,Ningbo,宁波,,,Zhejiang,浙江
P2423,changtu,长涂,30.25,122.3,Port,CN,China,中国,Zhoushan,舟山,,,Zhejiang,浙江
P2806,daishan,岱山,30.23333,122.18333,Port,CN,China,中国,Zhoushan,舟山,,,Zhejiang,浙江
P2554,ximatou,西码头,30.11817,122.14033,Port,CN,China,中国,Zhoushan,舟山,,,Zhejiang,浙江
P2998,shenjiamen,沈家门,29.93333,122.3,Port,CN,China,中国,Zhoushan,舟山,,,Zhejiang,浙江
P2411,dinghai,定海,29.99333,122.03333,Port,CN,China,中国,Zhoushan,舟山,,,Zhejiang,浙江
P2825,ligang,沥港,30.06667,121.85,Port,CN,China,中国,Zhoushan,舟山,,,Zhejiang,浙江
P2728,ningbo,宁波,29.88333,121.55,Port,CN,China,中国,Ningbo,宁波,,,Zhejiang,浙江
